Title,Link,Snippet
How to Hide the Jira Service Desk from the Main cu...,https://community.atlassian.com/t5/Jira-Service-Management/How-to-Hide-the-Jira-Service-Desk-from-the-Main-customer-portal/qaq-p/1101475,"Hi @Muhammad Bilal ,. on the customer portal, customer will show all projects in which he is able to raise tickets to. If you want to show just particular projects you should limit access to all the others by using customer permission as previously described."
Login - Jira Service Management,https://avrub.atlassian.net/servicedesk/customer/user/login?destination=portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Jira Service Management,https://integrho.atlassian.net/servicedesk/customer/portals,Introduce tu correo electrónico para iniciar sesión o registrarte. Dirección de correo electrónico. Siguiente. Con la tecnología de Jira Service Management.
Entrar - Jira Service Management,https://atendimento-totvs.atlassian.net/servicedesk/customer/portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Entrar - Jira Service Management,https://smiles.atlassian.net/servicedesk/customer/user/login?destination=portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Login - Jira Service Management,https://corsearch.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Next. Powered by Jira Service Management.
Login - Jira Service Management,https://assupol.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Login - Jira Service Management,https://connellsgroup.atlassian.net/servicedesk/customer/portals,"{""xsrfToken"":""c401d8f45c93502545059d3da04ea64f725afd33_lout"",""helpCenterBranding"":{""logoUrl"":""https://api.media.atlassian.com/file/9b1a3238-a025-46a8-816c ..."
Login - Jira Service Management,https://fruugo.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Entrar - Jira Service Management,https://riachuelo.atlassian.net/servicedesk/customer/portals,Insira o e-mail para entrar ou se inscrever. Endereço de e-mail. Próximo. Desenvolvido por Jira Service Management.
Jira Service Management,https://soundunited.atlassian.net/servicedesk/customer/portals,Enter your email to log in or sign up. Email address. Powered by Jira Service Management.
Log in - Jira - Options IT,https://jira.options-it.com/login.jsp,"Welcome to Jira. U sername. P assword. R emember my login on this computer. Not a member? To request an account, please contact your Jira administrators."
