summary,role,text
301 - 1.tsv,CUSTOMER,any ideas why java plugin takes so long to load?
301 - 1.tsv,AGENT,java 1.4?
301 - 1.tsv,CUSTOMER,yes
301 - 1.tsv,AGENT,java 1.5 loads _much_ faster
301 - 1.tsv,CUSTOMER,noneus: how can i get 1.5 is there a .deb somewhere?
301 - 1.tsv,AGENT,not yet.
301 - 1.tsv,CUSTOMER,noneus: is this blackdown or sun?
301 - 1.tsv,CUSTOMER,did you install just the jre?
301 - 1.tsv,AGENT,I use IBM's 1.4.2
301 - 1.tsv,AGENT,"(jdk, because I do globus development)"
301 - 1.tsv,CUSTOMER,"ah ok then, i'll give it a try, does IBM have a standard jre with plugin?"
301 - 1.tsv,AGENT,yes
301 - 1.tsv,CUSTOMER,"thanks, i'll try that, screwed up and tried to upgrade firefox/java on my own now java takes real long time to load"
301 - 1.tsv,CUSTOMER,"can't seem to find an ibm jre package, would you happen to have a url?"
301 - 1.tsv,AGENT,https://www6.software.ibm.com/dl/lxdk/lxdk-p
301 - 1.tsv,AGENT,you have to create a login.
301 - 1.tsv,CUSTOMER,much appreciated
301 - 1.tsv,CUSTOMER,1.42 is latest IBM java?
301 - 1.tsv,AGENT,yes.
301 - 1.tsv,AGENT,for certain arches
301 - 1.tsv,CUSTOMER,do you have j2se-common installed in ubuntu as well is ibm's java?
301 - 1.tsv,AGENT,I do not.
301 - 1.tsv,CUSTOMER,"ok, got it"
301 - 1.tsv,CUSTOMER,"i don't know what's up, no matter what java plugin i use, it takes a really long time to load a java applet"
301 - 1.tsv,CUSTOMER,are you using warty or hoary?  and firefox .9 or 1.0?
301 - 1.tsv,AGENT,Hoary (kernel from Warty) mixed with Debian Sid+experimental. mozilla-firefox 1.0-2 from Sid.
301 - 1.tsv,CUSTOMER,"eh, i dare not to go there :)"
301 - 1.tsv,CUSTOMER,where'd you get that mozilla-firefox from sid? ;)
301 - 1.tsv,AGENT,it's in Sid's pool
301 - 1.tsv,CUSTOMER,i can get the .deb on the web?
301 - 1.tsv,AGENT,"sure, but I'd wait a couple days. It'll probably be in Hoary within days."
301 - 1.tsv,CUSTOMER,but...Hoary...isn't that unstable?
301 - 1.tsv,CUSTOMER,how did you hold back and keep Warty kernel?
301 - 1.tsv,AGENT,"I use apt-pinning to keep the linux-* (well, kernel-related) packages pinned to warty-security"
301 - 1.tsv,CUSTOMER,"ok so far IBM's java is pretty clean, fast, and seems stable (so far) :D"
301 - 1.tsv,AGENT,indeed.
301 - 1.tsv,CUSTOMER,so just wait a day for sed error to be fixed and don't `apt-get upgrade` at this time?
301 - 1.tsv,AGENT,it is already fixed. The matter of the fixed package migrating to pool is of time.
301 - 1.tsv,CUSTOMER,"got it, thanks"
301 - 1.tsv,CUSTOMER,"LOL, CRASH! :D"
301 - 1.tsv,AGENT,dell laptop?
301 - 1.tsv,AGENT,lsmod|grep snd_intel8x0m|wc -l
301 - 1.tsv,CUSTOMER,0 but i did install hsf deb early on then upgraded to hoary
301 - 1.tsv,CUSTOMER,and yes dell laptop sorry
301 - 1.tsv,AGENT,look in /proc/interrupts and ensure an irq is being assigned to your sound chipset
301 - 1.tsv,CUSTOMER,roger
301 - 1.tsv,CUSTOMER,only thing closely resembling is i8042 would that be it?
301 - 1.tsv,AGENT,nope
301 - 1.tsv,CUSTOMER,"ok, thanks! how to fix?"
301 - 1.tsv,AGENT,"and snd_intel8x0 is loaded, correct?"
301 - 1.tsv,CUSTOMER,yes it is loaded
301 - 1.tsv,CUSTOMER,could be installing hsf from the get-go cause this?
301 - 1.tsv,AGENT,I'm not familiar w/ 'hsf'
301 - 1.tsv,CUSTOMER,hsf linuxant modem drivers
301 - 1.tsv,AGENT,ah.
301 - 1.tsv,AGENT,"I'd try and disable anything in bios you're not using, like a printer port (since you're already using the modem)"
301 - 1.tsv,CUSTOMER,dell bios is usually pretty limited but looking into now thanks
301 - 1.tsv,CUSTOMER,indeed.  you are the man.  i disabled as much as possible in bios and not soundcard is assigned an irq is it?  wonder why all of a sudden this needed to be done?  maybe because modem driver was properly installed?
301 - 1.tsv,AGENT,"I've seen the error quite a few times with snd-intel8x0m being loaded, or an irq not being assigned, etc."
301 - 1.tsv,AGENT,"seems to be a problem with that bios, but I'm not certain."
301 - 1.tsv,CUSTOMER,this bios has multiple issues actually :)
301 - 1.tsv,CUSTOMER,can't get apm working with it and ubuntu and acpi support is iffy at this point
301 - 1.tsv,CUSTOMER,why is ssh only listening on tcp6?
301 - 1.tsv,AGENT,huh?
301 - 1.tsv,CUSTOMER,"sorry, netstat -tupan says ssh is listening on 'tcp6' is that ipv6 only?"
301 - 1.tsv,AGENT,"no, that includes IPv4"
301 - 1.tsv,CUSTOMER,do you have openssh-server installed? if so can you real quick 'ssh localhost' let me know if it works? if you are running unstable...
301 - 1.tsv,AGENT,it's fine.
301 - 1.tsv,AGENT,on the wiki.
301 - 1.tsv,CUSTOMER,roger that :)
301 - 1.tsv,AGENT,any more broken than normal? no.
301 - 1.tsv,CUSTOMER,"can't get my usb mp3 player to fire up with gnomad2, it just hangs, and latest isn't in SID yet, which i need as it's a new player"
301 - 1.tsv,CUSTOMER,what is the command to make a dep out of a source package?  'make dist' ?
301 - 1.tsv,CUSTOMER,dep/deb
301 - 1.tsv,AGENT,"no, it's more complicated than that for some packages."
301 - 1.tsv,AGENT,for what application are you attempting this?
301 - 1.tsv,CUSTOMER,libnjb
301 - 1.tsv,CUSTOMER,there is 'debian' subdir
301 - 1.tsv,AGENT,which x.org devel package?
301 - 1.tsv,CUSTOMER,um there is no xorg-devel ?
301 - 1.tsv,AGENT,what issues?
301 - 1.tsv,CUSTOMER,"like if two soundcards doesn't select the right one or something, i just remember having sound issues upon initial install of warty"
301 - 1.tsv,CUSTOMER,"i gave my neighbor a bunch, he knows all the kids in town, and going to hand em out at school :D"
301 - 1.tsv,CUSTOMER,but i think gave my neighbor too much going to take some back for school
301 - 1.tsv,CUSTOMER,"i'll fire up laptop and check, one sec"
301 - 1.tsv,CUSTOMER,"yep, broken, sorry about that"
301 - 1.tsv,AGENT,what packages did mplayer-586 [for warty]  choke on?
301 - 1.tsv,CUSTOMER,"libarts0, libfrididi0, libggi2, libungif4g"
301 - 1.tsv,AGENT,"I'm backporting it from hoary; if you're willing to try the packages, I'll let you know from where to grab them when it finishes."
301 - 1.tsv,CUSTOMER,"awesome, of course :)"
301 - 1.tsv,CUSTOMER,attempting the downgrade as mentioned per the wiki
301 - 1.tsv,AGENT,ping
301 - 1.tsv,CUSTOMER,the downgrade seemed to work :D
301 - 1.tsv,AGENT,excellent.
301 - 1.tsv,CUSTOMER,"there are a few issues with gmplayer of that mplayer, /query ?"
301 - 1.tsv,AGENT,have you run across any?
301 - 1.tsv,CUSTOMER,"yes, a few with gmplayer"
301 - 1.tsv,CUSTOMER,"two, actually"
301 - 1.tsv,AGENT,spill.
301 - 1.tsv,CUSTOMER,"(1) when gmplayer starts the rotary (hourglass) hangs for a few seconds like it's waiting for something to initialize and (2) nevermind, and issue in my mplayer.conf :) and (3) might set the default xo=xv so that when 'f' key for fullscreen, image isn't centered in middle of screen but does take up full screen?  the first is the only real issue though.  let me run gmplayer in terminal"
301 - 1.tsv,CUSTOMER,ok when i start gmplayer in terminal there is no hang
301 - 1.tsv,CUSTOMER,i don't use gmplayer really but...
301 - 1.tsv,CUSTOMER,only when i start it from menu
301 - 1.tsv,AGENT,I will take a look at the menu entry
301 - 1.tsv,AGENT,don't understand (2) or (3)
301 - 1.tsv,AGENT,"x11 is a safer default, because xv is broken on some chipsets"
301 - 1.tsv,CUSTOMER,nevermind on (2) and (3) x11 is safer? nevermind on that one as well :)
301 - 1.tsv,AGENT,thanks for notifying.
301 - 1.tsv,AGENT,xv is optimised for the drivers that support it properly
301 - 1.tsv,CUSTOMER,only probs can find then is when launched from menu entry
301 - 1.tsv,CUSTOMER,think it's safe to use hoary 2.6.10 kernel in warty?
301 - 1.tsv,AGENT,"your call, though I advise you to stick with Warty's if you use the binary-only Nvidia or ATI driver."
301 - 1.tsv,CUSTOMER,"got it, thanks"
301 - 1.tsv,AGENT,did starting gmplayer from the menu work in a previous mplayer build?
301 - 1.tsv,CUSTOMER,know how redhat has ntsysv ncurses based app does ubuntu/debian have anything similar for handling init scripts?
301 - 1.tsv,AGENT,update-rc.d
301 - 1.tsv,CUSTOMER,fscking update-rc.d fscking giving me fscking headaches
301 - 1.tsv,AGENT,there must be something awry with your menu entry for gmplayer. Someone else attests that it executes perfectly.
301 - 1.tsv,CUSTOMER,"you're right, sorry about that, it's probably on my end as i did an downgrade from hoary to wary, thanks, anymore testing i can do let me know, i should have mentioned that beforehand, but it works!"
301 - 1.tsv,CUSTOMER,how to fix the menu entry?  anything like delete ~/.gconf or?
